id,name,created_at,updated_at,slug,description
"1","Analytics","2021-10-12 06:34:09.151209","2021-10-15 09:35:27.336415","analytics","Projects related to Data Analysis, Marketing Analytics, Business Intelligence and more."
"2","Branding","2021-10-12 06:34:09.157681","2021-10-15 09:35:27.345517","branding","Projects related to Brand Marketing, Brand Positioning, Brand Strategy and more."
"4","Design & Creative","2021-10-12 06:34:09.16899","2021-10-15 09:35:27.362544","design-creative","Projects related to UX Design, Graphic Design, Product Design and more."
"6","Events","2021-10-12 06:34:09.180482","2021-10-15 09:35:27.377383","events","Projects related to Event Marketing, Event Planning and more."
"7","Growth Marketing","2021-10-12 06:34:09.186006","2021-10-15 09:35:27.385101","growth-marketing","Projects related to A/B Testing, Growth Marketing, Demand Generation and more."
"8","Marketing Strategy","2021-10-12 06:34:09.191113","2021-10-15 09:35:27.39286","marketing-strategy","Projects related to Marketing Strategy, Lead Generation, Creative Strategy and more."
"9","Organic Acquisition","2021-10-12 06:34:09.196179","2021-10-15 09:35:27.400585","organic-acquisition","Projects related to SEO, Technical SEO, Link Building and more."
"11","Product Marketing","2021-10-12 06:34:09.206591","2021-10-15 09:35:27.416025","product-marketing","Projects related to Copywriting, Product Marketing, Storytelling and more."
"12","Research","2021-10-12 06:34:09.211351","2021-10-15 09:35:27.423187","research","Projects related to Market Research, User Research, Customer Research and more."
"5","Digital Marketing","2021-10-12 06:34:09.174709","2021-11-15 09:46:05.33554","digital-marketing","Projects related to Email Marketing, Marketing Operations, Market Analysis and more."
"3","Content & Communications","2021-10-12 06:34:09.162554","2022-01-19 08:05:50.947417","content-communications","Projects related to PR, Content Marketing, Content Production, Content Strategy and more."
"10","Paid Advertising","2021-10-12 06:34:09.201328","2022-01-19 08:06:05.904806","paid-advertising","Projects related to SEM, Paid Search, Social Media Advertising, Performance Marketing and more."
